case_id,edge_id,source_id,target_id,relation,attributes
PMC6354154_01,e1,P1,H1,HAS_HISTORY,"evidence_text=She was healthy, with no history of previous surgeries; trigger=history of; certainty=asserted; char_start=153; char_end=171"
PMC6354154_01,e2,P1,H2,HAS_HISTORY,evidence_text=No one in her family had history of infertility or any type of gynecologic cancer; trigger=history of; certainty=asserted; char_start=362; char_end=407
PMC6354154_01,e3,P1,H3,HAS_HISTORY,evidence_text=Her husband was healthy and had no relevant past medical history and his semen analysis was normal; trigger=past medical history; certainty=asserted; char_start=884; char_end=913
PMC6354154_01,e4,P1,E1,UNDERWENT_EXAM,evidence_text=A transvaginal ultrasonography was performed revealing a normed uterus and ovaries slightly enlarged and polycystic with a small echogenic mass in the right ovary of 15 millimeters; trigger=performed; certainty=asserted; char_start=640; char_end=665
PMC6354154_01,e5,P1,D1,DIAGNOSED_WITH,evidence_text=These features were consistent with ovarian steroid cell tumor NOS; trigger=consistent with; certainty=hedged; char_start=1898; char_end=1928
PMC6354154_01,e6,P1,O1,HAS_OUTCOME,"evidence_text=At 24 months, she had no evidence of recurrence and began follow-up in reproductive medicine consultation; trigger=recurrence; certainty=asserted; char_start=2104; char_end=2114"
PMC6354154_01,e7,P1,O1,HAS_OUTCOME,"evidence_text=At 36 months postoperatively, she is still not pregnant and no evidence of recurrence too; trigger=recurrence; certainty=asserted; char_start=2404; char_end=2414"
PMC6354154_01,e8,E1,F1,REVEALS,evidence_text=A transvaginal ultrasonography was performed revealing a normed uterus and ovaries slightly enlarged and polycystic with a small echogenic mass in the right ovary of 15 millimeters; trigger=revealing; certainty=asserted; char_start=650; char_end=775
PMC6354154_01,e9,P1,F2,HAS_FINDING,"evidence_text=Immunohistochemical study revealed diffuse marking for calretinin, vimentin, and melan-A (Figure 2); trigger=revealed; certainty=asserted; char_start=1796; char_end=1826"
PMC6354154_01,e10,F1,A1,LOCATED_IN,evidence_text=A transvaginal ultrasonography was performed revealing a normed uterus and ovaries slightly enlarged and polycystic with a small echogenic mass in the right ovary of 15 millimeters; trigger=uterus; certainty=asserted; char_start=659; char_end=665
PMC6354154_01,e11,F1,A2,LOCATED_IN,evidence_text=A transvaginal ultrasonography was performed revealing a normed uterus and ovaries slightly enlarged and polycystic with a small echogenic mass in the right ovary of 15 millimeters; trigger=ovary; certainty=asserted; char_start=752; char_end=757
