term,code,preferred_term,category
Calcimycin,D000001,Calcimycin,drugs
"4-Benzoxazolecarboxylic acid, 5-(methylamino)-2-((3,9,11-trimethyl-8-(1-methyl-2-oxo-2-(1H-pyrrol-2-yl)ethyl)-1,7-dioxaspiro(5.5)undec-2-yl)methyl)-, (6S-(6alpha(2S*,3S*),8beta(R*),9beta,11alpha))-",D000001,Calcimycin,drugs
A-23187,D000001,Calcimycin,drugs
A 23187,D000001,Calcimycin,drugs
Antibiotic A23187,D000001,Calcimycin,drugs
"A23187, Antibiotic",D000001,Calcimycin,drugs
A23187,D000001,Calcimycin,drugs
Temefos,D000002,Temefos,drugs
Temephos,D000002,Temefos,drugs
Difos,D000002,Temefos,drugs
Abate,D000002,Temefos,drugs
"Abdomen, Acute",D000006,"Abdomen, Acute",diseases
"Abdomens, Acute",D000006,"Abdomen, Acute",diseases
Acute Abdomen,D000006,"Abdomen, Acute",diseases
Acute Abdomens,D000006,"Abdomen, Acute",diseases
Abdominal Injuries,D000007,Abdominal Injuries,diseases
"Injuries, Abdominal",D000007,Abdominal Injuries,diseases
Abdominal Injury,D000007,Abdominal Injuries,diseases
"Injury, Abdominal",D000007,Abdominal Injuries,diseases
Abdominal Neoplasms,D000008,Abdominal Neoplasms,diseases
Abdominal Neoplasm,D000008,Abdominal Neoplasms,diseases
"Neoplasm, Abdominal",D000008,Abdominal Neoplasms,diseases
"Neoplasms, Abdominal",D000008,Abdominal Neoplasms,diseases
Abetalipoproteinemia,D000012,Abetalipoproteinemia,diseases
Bassen-Kornzweig Syndrome,D000012,Abetalipoproteinemia,diseases
Bassen Kornzweig Syndrome,D000012,Abetalipoproteinemia,diseases
Microsomal Triglyceride Transfer Protein Deficiency Disease,D000012,Abetalipoproteinemia,diseases
Bassen-Kornzweig Disease,D000012,Abetalipoproteinemia,diseases
Bassen Kornzweig Disease,D000012,Abetalipoproteinemia,diseases
Microsomal Triglyceride Transfer Protein Deficiency,D000012,Abetalipoproteinemia,diseases
Betalipoprotein Deficiency Disease,D000012,Abetalipoproteinemia,diseases
Betalipoprotein Deficiency Diseases,D000012,Abetalipoproteinemia,diseases
"Deficiency Disease, Betalipoprotein",D000012,Abetalipoproteinemia,diseases
"Deficiency Diseases, Betalipoprotein",D000012,Abetalipoproteinemia,diseases
"Disease, Betalipoprotein Deficiency",D000012,Abetalipoproteinemia,diseases
"Diseases, Betalipoprotein Deficiency",D000012,Abetalipoproteinemia,diseases
Acanthocytosis,D000012,Abetalipoproteinemia,diseases
Acanthocytoses,D000012,Abetalipoproteinemia,diseases
Congenital Abnormalities,D000013,Congenital Abnormalities,diseases
"Abnormality, Congenital",D000013,Congenital Abnormalities,diseases
Congenital Abnormality,D000013,Congenital Abnormalities,diseases
